seismic,seismoacoustic,shift,ge1ergy,gpuls,gde1ergy,gdpuls,ghazard,1bumps,1bumps2,1bumps3,1bumps4,1bumps5,1bumps6,1bumps7,1bumps89,e1ergy,maxe1ergy,class*
0,0,1,0.005809943942517,0.0101860053144376,0.0178970917225951,0.0256959314775161,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0.0056327175357824,0.00497512437810945,0.0193885160328113,0.0182012847965739,0,1,0,1,0,0,0,0,0,0.00497512437810945,0.005,0
0,0,1,0.00306293463813065,0,0.0111856823266219,0.019271948608137,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0.0110650921769952,0.00746268656716418,0.0544369873228934,0.145610278372591,0,1,0,1,0,0,0,0,0,0.00746268656716418,0.0075,0
0,0,1,0.00483134595750419,0,0.0246085011185682,0.0471092077087794,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0245265935928801,0,0.017151379567487,0.0331905781584582,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0800716611122883,0.00248756218905473,0.0671140939597315,0.122055674518201,0,2,2,0,0,0,0,0,0,0.00248756218905473,0.00175,0
0,0,1,0.0188360848375104,0.00995024875621891,0.0514541387024608,0.0995717344753747,0,1,0,1,0,0,0,0,0,0.00995024875621891,0.01,0
0,0,1,0.0385621544566662,0,0.111856823266219,0.158458244111349,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0953632178151066,0.00124378109452736,0.0745712155108128,0.129550321199143,0,1,1,0,0,0,0,0,0,0.00124378109452736,0.00125,0
0,0,1,0.0161237502648764,0.0124378109452736,0.0425055928411633,0.0642398286937901,0,1,0,1,0,0,0,0,0,0.0124378109452736,0.0125,0
0,0,1,0.0204773554737917,0,0.0574198359433259,0.069593147751606,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0639864383271368,0.00099502487562189,0.0492170022371365,0.082441113490364,0,1,1,0,0,0,0,0,0,0.00099502487562189,0.001,0
0,0,1,0.0248271079347345,0.0149253731343284,0.0715883668903803,0.112419700214133,0,1,0,1,0,0,0,0,0,0.0149253731343284,0.015,0
0,0,1,0.0291152164281174,0.00149253731343284,0.0850111856823266,0.107066381156317,0,1,1,0,0,0,0,0,0,0.00149253731343284,0.0015,0
0,1,0,0.0866637128932211,0.0174129353233831,0.0693512304250559,0.10813704496788,0,2,0,2,0,0,0,0,0,0.0174129353233831,0.015,0
0,1,1,0.0120167209262006,0,0.0328113348247576,0.0588865096359743,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.00878041262930785,0,0.0246085011185682,0.0406852248394004,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.00503554160004623,0,0.0141685309470544,0.0310492505353319,0,0,0,0,0,0,0,0,0,0,0,0
